comment,desc,title
0条点评,整套出租/1室0厅/1张床/宜住2人,智能门锁 日式风情 经典碧绿蓝色情侣大床房
3条点评,整套出租/1室1厅/1张床/宜住2人,【梵高先生】麦田 极米投影大床房
2条点评,整套出租/1室1厅/1张床/宜住2人,【缘宿】邂逅南站机场北美N1红灯笼投影大床房
5分/5条点评,整套出租/2室1厅/2张床/宜住4人,春树暮云位于市中心，地理位置优越，交通便利。
2条点评,整套出租/1室0厅/1张床/宜住2人,智能门锁 精装修复试简约公寓 情侣大床房
4.9分/24条点评,整套出租/1室0厅/1张床/宜住2人,【艺宿公寓】北欧风格大床房/高铁南站、飞机场
4.9分/8条点评,整套出租/3室2厅/3张床/宜住6人,【新房大促】富力城辰栖谷欧式阔景双卫大三居
5分/12条点评,整套出租/1室0厅/1张床/宜住2人,【缘宿】幻影 智能灯控投影大床房
1条点评,整套出租/1室0厅/1张床/宜住2人,雨竹情小资情调
0条点评,独立单间/1张床/宜住2人,太原南站山大财经大学机场阳光草坪大床房整租
0条点评,整套出租/1室0厅/1张床/宜住2人,智能门锁精装公寓 北欧风格简约情侣大床房
0条点评,整套出租/1室1厅/1张床/宜住2人,紧邻胜利桥东美特好超市，阳光充沛
3条点评,整套出租/1室0厅/1张床/宜住2人,壹壹民宿工业风公寓（近西客站、下元、理工大）
0条点评,整套出租/1室0厅/1张床/宜住2人,特惠：久一公寓50 ㎡整套公寓紧邻西客站
2条点评,整套出租/2室1厅/2张床铺/宜住4人,大医院红灯笼机场南站Loft落地大窗双卧
1条点评,整套出租/1室0厅/1张床/宜住2人,山西大学 『念念』精品民宿 太原南站 含发票
0条点评,整套出租/2室1厅/2张床铺/宜住4人,体育场大医院机场南站Loft双卧大床房
0条点评,整套出租/1室0厅/1张床/宜住2人,山西大学 『念念』精品民宿 太原南站 含发票
4.8分/17条点评,整套出租/2室1厅/2张床/宜住4人,富力城温馨民宿   智能门锁   近火车站
4.8分/18条点评,整套出租/1室1厅/1张床/宜住2人,N1蜗牛公寓•云水清新雅居
0条点评,独立单间/2张床/宜住2人,机场南站棋牌房‖北欧小情调‖接送机服务
0条点评,整套出租/1室0厅/1张床/宜住2人,山西大学 『念念』精品民宿 太原南站 含发票
5分/49条点评,整套出租/2室1厅/2张床/宜住4人,东中环 北中环 富力城启栖谷 怡佳民宿
1条点评,整套出租/1室0厅/1张床/宜住2人,壹壹美式电动床（比邻理工大下元西客站）
5分/32条点评,独立单间/1张床/宜住1人,免费提供水果的温馨之家
4.9分/18条点评,整套出租/3室1厅/3张床/宜住6人,恒大3居麻将房【5分钟步行到达购物中心】
4.9分/31条点评,整套出租/1室0厅/1张床/宜住2人,精品豪华房，日租，月租，年租
1条点评,整套出租/1室0厅/1张床/宜住2人,下元公元时代城实木家具情侣住房智能密码锁
5分/5条点评,整套出租/1室1厅/1张床/宜住2人,下元理工大私密情侣空间星级公寓智能门锁27
3条点评,整套出租/1室0厅/1张床/宜住2人,壹壹简约欧式一居室近（ 下元、理工大）
