rank,artist,title,time
1,画词戏子,把孤独当作晚餐,2:51
2,Ersen0306,攀登 (抖音版),1:42
3,王力宏、谭维维,缘分一道桥,4:06
4,G.E.M.邓紫棋,来自天堂的魔鬼,4:05
5,梁博,出现又离开 (Live),6:44
6,海来阿木、阿呷拉古、曲比阿且,别知己,4:40
7,陈家乐,暗里着迷,3:56
8,大欢,多年以后,4:03
9,G.E.M.邓紫棋,画 (Live Piano Session II),2:49
10,魏新雨,余情未了,3:36
11,TFBOYS,第一次告白,3:33
12,LEE HI、B.I,누구 없소 (NO ONE),3:14
13,薛之谦,这么久没见,4:55
14,Ice Paper,心如止水,3:05
15,王七七,我愿意平凡的陪在你身旁,2:29
16,Uu,那女孩对我说 (完整版),4:40
17,童珺,天下有情人 (国语版),2:21
18,永彬Ryan.B,放个大招给你看,2:58
19,杨胖雨,情深深雨濛濛,2:35
20,执素兮,赤伶 (正式版),4:56
21,王恰恰,撕夜,4:32
22,孙艺琪,情火,3:30
