rank,artist,title,time
67,上河Lin、司南,盗将行,3:18
68,小咪,即兴,3:32
69,杨语莲、王天昊,爱到最后就是痛 (对唱版),4:03
70,梦涵,17岁,4:02
71,隔壁老樊,红色高跟鞋,4:02
72,海来阿木,别知己,4:33
73,王天戈,心安理得,4:29
74,Jennie,SOLO,2:49
75,孤独诗人,渡我不渡她,3:02
76,小曼,只要你还需要我,4:13
77,G.E.M.邓紫棋,差不多姑娘,3:50
78,李俊佑、小潘潘(潘柚彤),宠坏,3:16
79,张泽熙,那个女孩,3:40
80,王琪,站着等你三千年,6:21
81,阿桑,一直很安静,4:10
82,于晴,心如止水,3:05
83,龙梅子、老猫,都说,3:35
84,Corki,下坠Falling,3:45
85,徐婧,今夜我一个人醉,4:07
86,叶嘉,你笑起来真好看,2:48
87,叶炫清,归去来兮,3:58
88,尚士达,生而为人,5:19
1,画词戏子,把孤独当作晚餐,2:51
2,Ersen0306,攀登 (抖音版),1:42
3,王力宏、谭维维,缘分一道桥,4:06
4,G.E.M.邓紫棋,来自天堂的魔鬼,4:05
5,梁博,出现又离开 (Live),6:44
6,海来阿木、阿呷拉古、曲比阿且,别知己,4:40
7,陈家乐,暗里着迷,3:56
8,大欢,多年以后,4:03
9,G.E.M.邓紫棋,画 (Live Piano Session II),2:49
10,魏新雨,余情未了,3:36
11,TFBOYS,第一次告白,3:33
12,LEE HI、B.I,누구 없소 (NO ONE),3:14
13,薛之谦,这么久没见,4:55
14,Ice Paper,心如止水,3:05
15,王七七,我愿意平凡的陪在你身旁,2:29
16,Uu,那女孩对我说 (完整版),4:40
17,童珺,天下有情人 (国语版),2:21
18,永彬Ryan.B,放个大招给你看,2:58
19,杨胖雨,情深深雨濛濛,2:35
20,执素兮,赤伶 (正式版),4:56
21,王恰恰,撕夜,4:32
22,孙艺琪,情火,3:30
23,The Rose,I Don't Know You,2:38
24,半吨兄弟,爱情错觉,4:03
25,陈雪凝,你的酒馆对我打了烊,4:11
26,NCF,艾力,2:25
27,潘玮柏、G.E.M.邓紫棋、艾热,攀登 (Live),4:11
28,李昕融、樊桐舟、李凯稠,你笑起来真好看,2:52
29,小咪,我走后,4:08
30,鹿晗,世界末日,4:27
31,焦迈奇,我的名字,4:11
32,Jain,Lil Mama,2:38
33,孟颖,黎明前的黑暗,2:13
34,崔伟立,情火,3:28
35,Alan Walker、Sabrina Carpenter、Farruko,On My Way,3:13
36,是你大哥阿,孤独,5:12
37,等什么君,赤伶,4:42
38,丸子呦,广寒宫,3:32
39,隔壁老樊,多想在平庸的生活拥抱你 (Live),4:29
40,苏北北,来自天堂的魔鬼 (Live),1:55
41,盛婕,嘿李兰妈妈,2:38
42,蕾蕾的小麦霸们、张振轩,赢在江湖 (童声版),3:46
43,王小帅,最近 (正式版),3:37
44,小星星Aurora,坠落星空,3:56
45,Ersen0306、Yelaman,攀登 (男生原版),3:16
46,花姐,狂浪,3:01
47,陆虎,雪落下的声音,5:11
48,CRITTY,不谓侠,4:26
49,Ava Max,Sweet but Psycho,3:07
50,王贰浪,像鱼,4:45
51,向熙,我叫安琪拉,3:10
52,莫斯满、老猫,野花香,3:31
53,陈雪凝,绿色,4:29
54,虎二,你一定要幸福,4:19
55,浙音4811,拜拜,3:21
56,半阳,一曲相思,2:48
57,小曼,最远的你是我最近的爱,4:04
58,王琪,万爱千恩,5:22
59,大壮,伪装,5:01
60,灿烈、吴世勋,We Young,3:01
61,韩红、林俊杰,飞云之下,4:26
62,Katie Sky,Monsters,3:38
63,苏谭谭,爱过了也伤过了,4:16
64,崔荣宰、朴智敏,다 들어줄게 (倾听你的所有),3:22
65,孙艺琪、崔伟立,怎么爱都爱不够,4:06
66,丁芙妮,只是太爱你,4:07
89,娜美,醉仙美,3:21
90,蒋雪儿,从前的我快乐过,3:21
91,太一,Lutra,2:58
92,徐聪,绝不会放过,4:13
93,LUM!X,Monster,3:03
94,李荣浩,年少有为,4:39
